0,1
,"Во книгата „Родени за трчање“ американскиот тркач и писател Кристофер МекДугал го опишува изолираното племе Тарахумара, кое живее во кањоните на севербо-западно Мексико. Тој се восхитува на способноста на овие луѓе да истрчаат, во еден здив, дистанци од над 150 километри со неверојатна брзина. Трчаат речиси боси, со обични сандали и ретко се повредуваат."
"Самиот поглед на картата на областа Архангелск на крајниот север на Русија прави да ти влезе студ во коски. Главниот град со истото име бил значајно пристаниште и трговски центар, но и почетна точка за бројни експедиции за истражување на северот - Баренцовото море, Арктичкиот Океан и Северниот пол. Oд тука ќе започнеме една нова експедиција, oвој пат кон југ.","Тарахумарите не се супер-луѓе – и оние „обичните“ се направени за да можат да издржат долго трчање, вели МекДугал. Да ме видел како трчам по двојка на Партизанска сигурно би го сменил мислењето. Но да ги видел нашите денешни соговорници, би рекол – „Ете, гледаш?“."
"Јас сум Илина Јакимовска. Во триесет и втората епизода од подкастот „Обични луѓе“, од тајгите на рускиот север ќе се преселиме најпрвин во шумите на нашето Поречје, па на улиците и во институциите на поствоено Скопје, а од таму во сите правци на светот. Водичи на оваа експедиција ќе бидат членовите на семејството Малахови, чиј удел во македонската култура до скоро не беше доволно познат. Сѐ до една изложба и нејзините четири авторки.","Во епизодата број 31 од подкастот „Обични луѓе“ се запознаваме со двајца за наши сфаќања прилично необични луѓе. Тие одат контра црногорската поговорка – ако можеш да седнеш зошто да стоиш, и ако можеш да легнеш зошто да седиш. Тие трчаат, и тоа замислете, од ќеф. Здравo! Јас сум Елена Ртоска, имам дваесет и четири години, сум од Прилеп и моментално живееме во Охрид."
,"По професија сум... и работам како софтвер инженер и слободното време го трошам во трчање на планина. Јас сум Антонио Каранфиловски, исто од Прилеп. Како што спомна Елена, живееме во Охрид. Имам завршено, дипломирано компјутерски науки и инжењерство. Пет години работам како Андроид девелопер."
"Повеќето приказни визуелно можат да се прикажат како отсечка, со јасна појдовна точка, линеарно траење и крај. Некои повеќе личат на концентрични кругови, каде еден настан поттикнува втор, па трет, па четврт. Приказната за семејството Малахови повеќе потсетува на сликарството на руската авангарда","Елена и Антонио се партнери и во трчањето и во животот. Физички Елена е грациозна и тенка. Антонио делува силно, но не како некој што крева тегови и е на протеински прашоци. Делуваат смирено и ускладено, како да не брзаат никаде. Како почнале и кој од нив бил прв во нивното необично хоби?"
"можеби на еден Малевич или на Кандински. Разиграните форми како да ги ништат геометриските конвенции, боите се прелеваат, а сликата понекогаш има таква длабочина што различните облици, согледани заедно, формираат тродимензионален холограм.","Поединечно беше тоа. Јас почнав нешто порано. Почетоците во планинското трчање конкретно, претходно сум спортувал и карате, кик бокс и други спортови, потоа планинарење. И како еден премин од планинарење во планинско трчање, тоест побрза форма на планинарење, беше планинското трчање конкретно. Тоа беше негде 2015 година,"
"‏Како да се раскаже една ваква животна сторија, без да се направи неправда кон нејзината повеќеслојност? Ќе се обидеме, онака како што тоа го сторија Лина Жила, Јасмина Дамјановска, Љубица Велкова и Јасминка Намичева. Тие се авторки на изложбата под наслов „Македонската робинзонијада на семејството бегалци Малахови“, која се отвори на 19 октомври 2023 во Музејот на град Скопје.","а Елена ја запознавам 2017. Да. Јас кога се запознав со Антонио почнав рекреативно да трчам, односно во 2017 година и тоа траеше две години, сѐ додека не дојде 2019 година натпреварот во државно првенство"
"Пред да присуствуваме на нејзиното отворање имавме слушнато само за името на Марија Малахова, авторка на еден илустриран албум на македонски народни носии, кое звучеше како да е руско. Не знаевме ниту како се нашла во Македонија, ниту пак каде заминала од тука. И самите авторки на изложбата на почетокот не знаеле многу повеќе. Она што сепак можеле да го претпостават се причините зошто е тоа така.","за скај ранинг каде што освоив трето место и имав право да учествувам на европско првенство во Италија каде што можам да кажам дека главен иницијатор беше Антонио за тоа. И тогаш почнав поактивно да се бавам со планинско трчање односно со скај ранинг и повеќе се спремав, првично за натпреварот, после за секоја наредна трка."
‏Кога ние почнавме нашата изложба ние мислевме дека имаме работа со руската имигрантка бидејќи беше периодот на граѓанската војна во Русија после 1917 година и дел на Русите избегале од својата држава.,"Пред да почнам да се подготвувам за разговорот со Елена и Антонио единствено што знаев е дека тие трчаат по планини. Но нештата не се толку едноставни – и во оваа област има категории и прецизни дефиниции за тоа што е што. Помеѓу тркачите од различна возраст и потекло има такви со поголем компетитивен дух, но има и луѓе кои ова не го сфаќаат како спорт со победници и губитници, туку како уметност на самодисциплина и надминување на стравови."
"Количината на бегалци беше огромна. Целата Европа и целиот свет можам да кажам беше преплавен со руските бегалци, но кое што оставиле на пример овде во Македонија огромна трага. Вие се шетате низ градот... кој ја знае арапската куќа? Да. И? Тоа кој изградил?",Скај ранинг односно екстремно планинско трчање е форма на планинско трчање каде што теренот е многу потехнички. Има покарпести делови кои што треба да се истрчаат.
